Symbol,Name,Volume [$],Market Cap,Market Cap Rank,7D Change [%],24H Change [%]
BTC,Bitcoin,29170932924,1316155386703,1,13.8463024353,1.6455094063
ETH,Ethereum,13854006879,421641087230,2,11.2073976248,1.3613438677
BNB,BNB,1148430002,91200416504,4,11.530399447,2.0263956427
SOL,Solana,2612478064,78500592900,5,20.7871506405,0.4864442159
stETH,Lido Staked Ether,55626073,34166730318,6,11.1539569512,1.118959733
XRP,XRP,1823557327,33159578021,8,14.3835645652,4.6362083261
DOGE,Dogecoin,860934446,18743530303,9,18.0920500902,5.5404058289
TON,Toncoin,220975869,18444314062,10,-0.1804052307,0.6738101373
ADA,Cardano,285827759,15381644233,11,2.4323446382,0.8342148755
TRX,TRON,318400604,11701054250,12,-3.7228098026,-0.0506435371
AVAX,Avalanche,321848939,11129585399,13,9.3242323785,2.6222412865
SHIB,Shiba Inu,550232853,10550470719,14,4.9089755113,1.9008363403
WBTC,Wrapped Bitcoin,302192754,10305052987,15,13.8295336117,1.5443329701
DOT,Polkadot,149723390,8779920122,16,2.1539605237,1.7031739206
LINK,Chainlink,345583320,8569957549,17,8.6828209708,2.1586407256
BCH,Bitcoin Cash,194251463,7773882336,18,6.2104287146,2.4128297334
NEAR,NEAR Protocol,289676106,7026256767,19,22.5132070005,2.1077238973
UNI,Uniswap,167803510,6007666184,20,-1.635185589,0.5918685111
LTC,Litecoin,256310870,5475551472,21,5.1381788964,2.0519878107
DAI,Dai,106665771,5403237450,22,0.0381770057,0.1083431725
LEO,LEO Token,3134191,5288226441,23,-1.0421382799,-1.8492594728
WEETH,Wrapped eETH,31488164,5171242733,24,11.3678966197,1.0650255986
PEPE,Pepe,1567333382,5119476438,25,40.6212476196,1.7833711563
MATIC,Polygon,232243331,4956053875,26,3.8376683538,2.5139184644
ICP,Internet Computer,141925782,4755032583,27,27.4830267821,3.6288293217
KAS,Kaspa,37113234,4378045193,28,8.4307481835,-0.5282136458
FET,Artificial Superintelligence Alliance,179622464,3673775181,29,25.5844146679,1.3290938039
ETC,Ethereum Classic,126810698,3531425315,30,8.4947355649,2.491488745
APT,Aptos,144502878,3434589483,31,17.4988060049,0.3188634325
USDE,Ethena USDe,66988212,3405507474,32,0.2393425619,0.1508064637
XLM,Stellar,76918767,3077098365,33,2.2295212407,1.3403508905
XMR,Monero,87058802,2999775446,34,1.9630069712,1.4441974809
MNT,Mantle,182128092,2936526100,35,26.6113009141,0.6167788286
STX,Stacks,93334719,2836793725,36,14.7884894794,3.2065823541
RNDR,Render,106930084,2672027409,37,11.2298428481,3.2196683843
FIL,Filecoin,164861862,2670506253,38,11.3233777602,4.6729544281
HBAR,Hedera,43249498,2655642378,39,8.6961625941,1.2470837058
INJ,Injective,136633009,2611738611,40,33.8817438494,0.3016082916
ARB,Arbitrum,243312557,2606644461,41,12.0735271528,4.0248873386
MKR,Maker,100060188,2598141588,42,4.8752415464,-0.2906700745
OKB,OKB,4545468,2577964699,43,11.6457188068,-0.2326582752
WIF,dogwifhat,631669152,2551429591,44,61.1546056603,3.8716026102
