Symbol,Name,Volume [$],Market Cap,Market Cap Rank,7D Change [%],24H Change [%]
btc,Bitcoin,36835926933,1274397670698,1,-3.7455780409,-0.0522611784
eth,Ethereum,18387020146,378688716302,2,-2.6849246634,-1.1875115742
bnb,BNB,1175746164,83567951776,4,-0.5518620166,0.0322536168
sol,Solana,5019395696,76379200840,5,-7.9346890506,-3.3789295844
usdc,USDC,8566713707,32895061906,6,-0.0107742318,-0.0647575401
xrp,XRP,1988978742,32152454507,7,-4.1851405846,-5.9577539285
doge,Dogecoin,936455835,17030412419,9,-9.4711698873,-2.7063582412
ton,Toncoin,311649372,16683438126,10,-1.2336321554,-3.1375031543
ada,Cardano,508453272,13692778252,11,-6.4667589971,-1.9721000888
trx,TRON,380763911,11032810424,12,-7.5094348731,-2.036708692
wbtc,Wrapped Bitcoin,514425489,9986878199,13,-3.8370825917,-0.1069916067
avax,Avalanche,377216364,9861259878,14,-10.230298272,-1.8920280563
shib,Shiba Inu,258805508,9137093436,15,-7.4767851884,-2.4696741902
bch,Bitcoin Cash,276506706,8022372682,16,9.1253676839,-3.6383360853
link,Chainlink,347910716,7614917538,17,-5.718821029,-3.7715246696
dot,Polkadot,213802544,7300963122,18,-10.399062131,-2.4324968933
leo,LEO Token,2434580,5423965153,19,0.8629662603,3.3774807979
near,NEAR Protocol,297704458,5373928987,20,-13.2948603438,-4.4239936097
uni,Uniswap,170457765,5318942184,21,-7.1858794163,-1.7674551904
dai,Dai,160578356,5271293140,22,0.0296673508,0.0084654678
ltc,Litecoin,351188543,5156310579,23,-3.0951879813,-2.228377739
weeth,Wrapped eETH,87778708,4875827169,24,-2.6844811652,-1.2314347219
kas,Kaspa,125709623,4714058856,25,7.8806043931,-5.8100615295
matic,Polygon,314539467,4488773819,26,-4.9843171763,-2.9609933372
pepe,Pepe,1093195058,4284031078,27,-13.7524100769,-3.0048269363
icp,Internet Computer,109874402,4173203662,28,-10.1524592845,1.3669231125
usde,Ethena USDe,78996897,3220051693,29,-0.0389495053,0.0117498234
etc,Ethereum Classic,118539858,3140508372,30,-5.7721102251,-2.8441945644
xmr,Monero,125124210,2996894510,31,0.4505675191,3.001829229
apt,Aptos,154346218,2947872200,32,-7.7054615188,-1.5811365496
xlm,Stellar,86327173,2858533835,33,-5.0460519495,-2.0433577335
fet,Artificial Superintelligence Alliance,140851243,2841813789,34,-11.1157074702,-0.4174082829
stx,Stacks,72079817,2482124312,35,-9.516726508,-2.1465948183
mkr,Maker,161608010,2448872459,36,-4.8104885963,-3.2149852498
